,deg,mu,partition,acc_measure,acc_value
,10,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.000229535
,10,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.654022283
,10,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-3.60E-07
216,20,0.1,Leiden-MOD,NMI,0.985226366
217,20,0.1,Leiden-MOD,ARI,0.994103507
218,20,0.1,ECG,NMI,1
219,20,0.1,ECG,ARI,1
220,20,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.985435247
221,20,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.994037617
222,20,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.985435247
223,20,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.994037617
224,20,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.987307033
225,20,0.1,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.994886881
226,20,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.989208646
227,20,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.995575497
228,20,0.2,Leiden-MOD,NMI,0.978115348
229,20,0.2,Leiden-MOD,ARI,0.989314186
230,20,0.2,ECG,NMI,0.999138815
231,20,0.2,ECG,ARI,0.999871798
232,20,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.978990543
233,20,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.990361947
234,20,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.979363579
235,20,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.990470206
236,20,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.983870287
237,20,0.2,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.992445303
238,20,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.98740528
239,20,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.994247206
240,20,0.3,Leiden-MOD,NMI,0.964453286
241,20,0.3,Leiden-MOD,ARI,0.973800284
242,20,0.3,ECG,NMI,0.994303169
243,20,0.3,ECG,ARI,0.994754241
244,20,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.96264787
245,20,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.971521467
246,20,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.96264787
247,20,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.971521467
248,20,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.97090363
249,20,0.3,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.977171647
250,20,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.97418787
251,20,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.978847369
252,20,0.4,Leiden-MOD,NMI,0.906156291
253,20,0.4,Leiden-MOD,ARI,0.884779658
254,20,0.4,ECG,NMI,0.947475533
255,20,0.4,ECG,ARI,0.928881207
256,20,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.910427087
257,20,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.893519086
258,20,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.914411966
