,k,n,res,method,partition,acc_measure,acc_value
166,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Recall,0
167,500,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",F1-Score,0
168,1000,10,mod,leiden-mod,Leiden-mod,NMI,0.877661768
169,1000,10,mod,leiden-mod,Leiden-mod,AMI,0.751311583
170,1000,10,mod,leiden-mod,Leiden-mod,ARI,0.332951461
171,1000,10,mod,leiden-mod,Leiden-mod,FPR,0
172,1000,10,mod,leiden-mod,Leiden-mod,FNR,0
173,1000,10,mod,leiden-mod,Leiden-mod,Precision,0
174,1000,10,mod,leiden-mod,Leiden-mod,Recall,0
175,1000,10,mod,leiden-mod,Leiden-mod,F1-Score,0
176,1000,10,mod,louvain,Louvain,NMI,0.877191759
177,1000,10,mod,louvain,Louvain,AMI,0.750638783
178,1000,10,mod,louvain,Louvain,ARI,0.328782065
179,1000,10,mod,louvain,Louvain,FPR,0
180,1000,10,mod,louvain,Louvain,FNR,0
181,1000,10,mod,louvain,Louvain,Precision,0
182,1000,10,mod,louvain,Louvain,Recall,0
183,1000,10,mod,louvain,Louvain,F1-Score,0
184,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),NMI,0.898187348
185,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),AMI,0.781239074
186,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),ARI,0.388724348
187,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FPR,0
188,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),FNR,0
189,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Precision,0
190,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),Recall,0
191,1000,10,mod,leiden-mod,FastEnsemble(Leiden-mod),F1-Score,0
192,1000,10,mod,louvain,FastEnsemble(Louvain),NMI,0.901264877
193,1000,10,mod,louvain,FastEnsemble(Louvain),AMI,0.7860177
194,1000,10,mod,louvain,FastEnsemble(Louvain),ARI,0.39789162
195,1000,10,mod,louvain,FastEnsemble(Louvain),FPR,0
196,1000,10,mod,louvain,FastEnsemble(Louvain),FNR,0
197,1000,10,mod,louvain,FastEnsemble(Louvain),Precision,0
198,1000,10,mod,louvain,FastEnsemble(Louvain),Recall,0
199,1000,10,mod,louvain,FastEnsemble(Louvain),F1-Score,0
200,1000,10,mod,leiden-mod,ECG,NMI,1
201,1000,10,mod,leiden-mod,ECG,AMI,1
202,1000,10,mod,leiden-mod,ECG,ARI,1
203,1000,10,mod,leiden-mod,ECG,FPR,0
204,1000,10,mod,leiden-mod,ECG,FNR,0
205,1000,10,mod,leiden-mod,ECG,Precision,0
206,1000,10,mod,leiden-mod,ECG,Recall,0
207,1000,10,mod,leiden-mod,ECG,F1-Score,0
208,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",NMI,0.918378644
209,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",AMI,0.814141735
210,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",ARI,0.450135112
211,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FPR,0
212,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",FNR,0
213,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Precision,0
214,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",Recall,0
215,1000,10,mod,leiden-mod,"Strict(np=10,Leiden-mod)",F1-Score,0
216,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",NMI,0.927164111
217,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",AMI,0.829706419
218,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",ARI,0.480058239
219,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FPR,0
220,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",FNR,0
221,1000,10,mod,leiden-mod,"Strict(np=50,Leiden-mod)",Precision,0
