net,type,res,acc_value,acc_measure
cit_patents,post-CM,0.5,4.53E-05,ARI
cit_patents,FastEnsemble,mod,0.851109429,ARI
cit_patents,FastEnsemble,0.0001,0.973377956,ARI
cit_patents,FastEnsemble,0.001,0.996026795,ARI
cit_patents,FastEnsemble,0.01,0.73371968,ARI
cit_patents,FastEnsemble,0.1,0.891938628,ARI
cit_patents,FastEnsemble,0.5,0.00352892,ARI
cit_patents,FastEnsemble(tr=0.9),mod,,ARI
cit_patents,FastEnsemble(tr=0.9),0.0001,0.980470917,ARI
cit_patents,FastEnsemble(tr=0.9),0.001,0.996398699,ARI
cit_patents,FastEnsemble(tr=0.9),0.01,0.712404274,ARI
cit_patents,FastEnsemble(tr=0.9),0.1,0.871419584,ARI
cit_patents,FastEnsemble(tr=0.9),0.5,0.000793817,ARI
wiki_topcats,Leiden,mod,0.099028246,ARI
wiki_topcats,Leiden,0.0001,0.983176759,ARI
wiki_topcats,Leiden,0.001,0.959948755,ARI
wiki_topcats,Leiden,0.01,0.66863675,ARI
wiki_topcats,Leiden,0.1,0.828967366,ARI
wiki_topcats,Leiden,0.5,,ARI
wiki_topcats,post-CM,mod,0.949039459,ARI
wiki_topcats,post-CM,0.0001,0.998653886,ARI
wiki_topcats,post-CM,0.001,0.963167665,ARI
wiki_topcats,post-CM,0.01,0.666379785,ARI
wiki_topcats,post-CM,0.1,0.632174689,ARI
wiki_topcats,post-CM,0.5,,ARI
wiki_topcats,FastEnsemble,mod,0.848611633,ARI
wiki_topcats,FastEnsemble,0.0001,0.994187965,ARI
wiki_topcats,FastEnsemble,0.001,0.959796396,ARI
wiki_topcats,FastEnsemble,0.01,0.669726034,ARI
wiki_topcats,FastEnsemble,0.1,0.816782598,ARI
wiki_topcats,FastEnsemble,0.5,,ARI
wiki_topcats,FastEnsemble(tr=0.9),mod,,ARI
wiki_topcats,FastEnsemble(tr=0.9),0.0001,0.995631662,ARI
wiki_topcats,FastEnsemble(tr=0.9),0.001,0.957937427,ARI
wiki_topcats,FastEnsemble(tr=0.9),0.01,0.667007746,ARI
wiki_topcats,FastEnsemble(tr=0.9),0.1,0.809178432,ARI
wiki_topcats,FastEnsemble(tr=0.9),0.5,,ARI
wiki_talk,Leiden,mod,0.251021751,ARI
wiki_talk,Leiden,0.0001,0.35150087,ARI
wiki_talk,Leiden,0.001,0.170975946,ARI
wiki_talk,Leiden,0.01,0.01348671,ARI
wiki_talk,Leiden,0.1,0.000587033,ARI
wiki_talk,Leiden,0.5,,ARI
wiki_talk,post-CM,mod,0.016574556,ARI
wiki_talk,post-CM,0.0001,0.111246768,ARI
wiki_talk,post-CM,0.001,0.034373209,ARI
wiki_talk,post-CM,0.01,0,ARI
wiki_talk,post-CM,0.1,0,ARI
wiki_talk,post-CM,0.5,,ARI
wiki_topcats,ECG,0.001,0.914178627,ARI
cit_hepph,ECG,0.001,0.999994793,ARI
cit_patents,ECG,0.001,0.074667755,ARI
open_citations,ECG,0.001,0.163779389,ARI
cen,ECG,0.001,0.122535938,ARI
wiki_topcats,ECG,mod,0.5682,ARI
cit_hepph,ECG,mod,1,ARI
cit_patents,ECG,mod,0.6241,ARI
open_citations,ECG,mod,0.6958,ARI
cen,ECG,mod,0.9463,ARI
cit_hepph,FastConsensus,mod,0.999,ARI
wiki_topcats,FastConsensus,mod,0.954,ARI
cit_hepph,FastEnsemble(50% mix),mod,0.99518143,NMI
cit_hepph,FastEnsemble(50% mix),0.0001,0.98703775,NMI
cit_hepph,FastEnsemble(50% mix),0.001,0.99597625,NMI
cit_hepph,FastEnsemble(50% mix),0.01,0.99850192,NMI
cit_hepph,FastEnsemble(50% mix),0.1,0.68355644,NMI
cit_hepph,FastEnsemble(50% mix),0.5,0.70102178,NMI
