,k,n,res,method,partition,acc_measure,acc_value
112,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",NMI,0.9922134007797672
113,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",AMI,0.0
114,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",ARI,0.9211107043295189
115,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FPR,0.0
116,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FNR,0.0
117,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Precision,0.0
118,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Recall,0.0
119,1000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",F1-Score,0.0
120,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",NMI,1.0
121,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",AMI,0.0
122,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",ARI,1.0
123,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FPR,0.0
124,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FNR,0.0
125,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Precision,0.0
126,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Recall,0.0
127,1000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",F1-Score,0.0
128,5000,10,0.001,leiden-cpm,Leiden-CPM,NMI,0.9043545997680471
129,5000,10,0.001,leiden-cpm,Leiden-CPM,AMI,0.0
130,5000,10,0.001,leiden-cpm,Leiden-CPM,ARI,0.34141123455350075
131,5000,10,0.001,leiden-cpm,Leiden-CPM,FPR,0.0
132,5000,10,0.001,leiden-cpm,Leiden-CPM,FNR,0.0
133,5000,10,0.001,leiden-cpm,Leiden-CPM,Precision,0.0
134,5000,10,0.001,leiden-cpm,Leiden-CPM,Recall,0.0
135,5000,10,0.001,leiden-cpm,Leiden-CPM,F1-Score,0.0
136,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",NMI,0.9363606656086523
137,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",AMI,0.0
138,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",ARI,0.46811557657081154
139,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FPR,0.0
140,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",FNR,0.0
141,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Precision,0.0
142,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",Recall,0.0
143,5000,10,0.001,leiden-cpm,"FastEnsemble(np=10,Leiden-CPM)",F1-Score,0.0
144,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",NMI,0.9934834648427505
145,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",AMI,0.0
146,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",ARI,0.9176022170244045
147,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FPR,0.0
148,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",FNR,0.0
149,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Precision,0.0
150,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",Recall,0.0
151,5000,10,0.001,leiden-cpm,"Strict(np=10,Leiden-CPM)",F1-Score,0.0
152,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",NMI,1.0
153,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",AMI,0.0
154,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",ARI,1.0
155,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FPR,0.0
156,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",FNR,0.0
157,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Precision,0.0
158,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",Recall,0.0
159,5000,10,0.001,leiden-cpm,"Strict(np=50,Leiden-CPM)",F1-Score,0.0
160,10000,10,0.001,leiden-cpm,Leiden-CPM,NMI,0.9115272443291366
161,10000,10,0.001,leiden-cpm,Leiden-CPM,AMI,0.0
162,10000,10,0.001,leiden-cpm,Leiden-CPM,ARI,0.33855251328517916
