,n,mu,partition,acc_measure,acc_value
,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.032845971
,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.628850442
,10000,0.6,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.085040446
,10000,0.7,Leiden-MOD,NMI,0.058280266
,10000,0.7,Leiden-MOD,ARI,0.003996829
,10000,0.7,ECG,NMI,0.104247611
,10000,0.7,ECG,ARI,0.015867649
,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.059221973
,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.007348528
,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.095620184
,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.013869023
,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.625807292
,10000,0.7,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.02682795
,10000,0.8,Leiden-MOD,NMI,0.036413947
,10000,0.8,Leiden-MOD,ARI,0.000633721
,10000,0.8,ECG,NMI,0.086639488
,10000,0.8,ECG,ARI,0.00177843
,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.02775776
,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.001274295
,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.082759034
,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,0.002055518
,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.63660195
,10000,0.8,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,0.002612841
,10000,0.9,Leiden-MOD,NMI,0.03102257
,10000,0.9,Leiden-MOD,ARI,0.000236805
,10000,0.9,ECG,NMI,0.098078272
,10000,0.9,ECG,ARI,0.000253106
,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.026847145
,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.00015207
,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",NMI,0.086979466
,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",ARI,-9.77E-06
,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",NMI,0.642494203
,10000,0.9,"FastEnsemble(tr=0.8,Leiden-MOD)",ARI,-1.36E-05
,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.982326935
,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.97213017
,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.974637443
,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.950977661
,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.964913815
,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.93171975
,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.911878847
,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.818972068
,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.709013829
,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.276657635
,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.660204014
,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.072608709
,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.653987649
,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.00432422
,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.65370898
,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.000229535
,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.654022283
,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-3.60E-07
216,100000,0.1,Leiden-MOD,NMI,0.944821149
217,100000,0.1,Leiden-MOD,ARI,0.870665524
218,100000,0.1,ECG,NMI,0.99108751
219,100000,0.1,ECG,ARI,0.99420107
220,100000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",NMI,0.954727338
221,100000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",ARI,0.899395109
