net,type,res,NMI,ARI,AMI,min_gt,max_gt,mean_gt,median_gt,#clusters_gt,#nodes,#nodes_gt,remaining_nodes,proportion_well_connected_gt,mean_normalized_connectivity_gt,proportion_small_clusters_gt,proportion_disconnected_gt
wiki_topcats,post-CM,0.001,0.986157007,0.963167665,0.97563017,6,4742,46.22362412,12,38757,1653557,1791489,0.923007063,0.999948396,3.943583666,0.449249187,0
wiki_topcats,post-CM,0.01,0.960061436,0.666379785,0.842439051,5,2490,13.97788025,7,128166,1137933,1791489,0.635188382,0.999352402,3.430866564,0.701381791,0
wiki_topcats,post-CM,0.1,0.944601648,0.632174689,0.545523825,5,502,8.047404286,6,222617,523070,1791489,0.291975,0.992511803,2.46112459,0.854634396,0.000130269
wiki_topcats,post-CM,0.5,,,,,,,,,,,,,,,
wiki_topcats,FastEnsemble,mod,0.992296064,0.848611633,,,,,,,,,,,,,
wiki_topcats,FastEnsemble,0.0001,0.991549577,0.994187965,,,,,,,,,,,,,
wiki_topcats,FastEnsemble,0.001,0.992706241,0.959796396,,,,,,,,,,,,,
wiki_topcats,FastEnsemble,0.01,0.983119557,0.669726034,,,,,,,,,,,,,
wiki_topcats,FastEnsemble,0.1,0.987594532,0.816782598,,,,,,,,,,,,,
wiki_topcats,FastEnsemble,0.5,,,,,,,,,,,,,,,
wiki_talk,Leiden,mod,0.771836904,0.251021751,0.631529601,7,4836,37.25567536,12,64269,2394385,2394385,1,0.143210568,0.280857523,0.398272911,0.707199427
wiki_talk,Leiden,0.0001,0.871643594,0.35150087,0.639997874,8,3766,16.57357929,11,144470,2394385,2394385,1,0.14693708,0.312820338,0.45764894,0.66356337
wiki_talk,Leiden,0.001,0.788838511,0.170975946,0.495882861,9,1202,50.19780289,18,47699,2394385,2394385,1,0.037086731,0.115895961,0.173794549,0.870332711
wiki_talk,Leiden,0.01,0.743916305,0.01348671,0.104915455,20,200,52.3603184,37,45729,2394385,2394385,1,0,0,0,1
wiki_talk,Leiden,0.1,0.708035538,0.000587033,0.018334859,53,1140,146.7147672,91,16320,2394385,2394385,1,0,0,0,1
wiki_talk,Leiden,0.5,,,,,,,,,,,,,,,
wiki_talk,post-CM,mod,0.809219648,0.016574556,0.132306898,7,4836,37.25567536,12,64269,222800,2394385,0.093051034,0.143210568,0.280857523,0.398272911,0.707199427
wiki_talk,post-CM,0.0001,0.8904219,0.111246768,0.213259793,8,3766,16.57357929,11,144470,283930,2394385,0.118581598,0.14693708,0.312820338,0.45764894,0.66356337
wiki_talk,post-CM,0.001,0.81784135,0.034373209,0.169020341,9,1202,50.19780289,18,47699,307966,2394385,0.128620084,0.037086731,0.115895961,0.173794549,0.870332711
wiki_talk,post-CM,0.01,0.834216299,0,-4.88E-07,53,1140,146.7147672,91,16320,0,2394385,0,0,0,0,1
wiki_talk,post-CM,0.1,0.778449321,0,-3.20E-07,53,1140,146.7147672,91,16320,0,2394385,0,0,0,0,1
wiki_talk,post-CM,0.5,,,,,,,,,,,,,,,
