,n,mu,partition,acc_measure,acc_value
,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.660204014
,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.072608709
,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.653987649
,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.00432422
,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.65370898
,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,0.000229535
,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",NMI,0.654022283
,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",ARI,-3.60E-07
,10000,0.1,Louvain,NMI,0.964251414
,10000,0.1,Louvain,ARI,0.939204876
,10000,0.2,Louvain,NMI,0.955789605
,10000,0.2,Louvain,ARI,0.916619937
,10000,0.3,Louvain,NMI,0.910747549
,10000,0.3,Louvain,ARI,0.775388389
,10000,0.4,Louvain,NMI,0.750543066
,10000,0.4,Louvain,ARI,0.462563607
,10000,0.5,Louvain,NMI,0.358452546
,10000,0.5,Louvain,ARI,0.093185705
,10000,0.6,Louvain,NMI,0.121618217
,10000,0.6,Louvain,ARI,0.018842431
,10000,0.7,Louvain,NMI,0.066523443
,10000,0.7,Louvain,ARI,0.00635048
,10000,0.8,Louvain,NMI,0.042708493
,10000,0.8,Louvain,ARI,0.00043495
,10000,0.9,Louvain,NMI,0.041551341
,10000,0.9,Louvain,ARI,-5.38E-05
,10000,0.1,FastEnsemble(Louvain),NMI,0.981654384
,10000,0.1,FastEnsemble(Louvain),ARI,0.967415746
,10000,0.2,FastEnsemble(Louvain),NMI,0.977359943
,10000,0.2,FastEnsemble(Louvain),ARI,0.956969926
,10000,0.3,FastEnsemble(Louvain),NMI,0.969251432
,10000,0.3,FastEnsemble(Louvain),ARI,0.946427155
,10000,0.4,FastEnsemble(Louvain),NMI,0.898261893
,10000,0.4,FastEnsemble(Louvain),ARI,0.828856625
,10000,0.5,FastEnsemble(Louvain),NMI,0.682318371
,10000,0.5,FastEnsemble(Louvain),ARI,0.266196109
,10000,0.6,FastEnsemble(Louvain),NMI,0.632537265
,10000,0.6,FastEnsemble(Louvain),ARI,0.095580584
,10000,0.7,FastEnsemble(Louvain),NMI,0.627812912
,10000,0.7,FastEnsemble(Louvain),ARI,0.016715789
,10000,0.8,FastEnsemble(Louvain),NMI,0.644059841
,10000,0.8,FastEnsemble(Louvain),ARI,0.000741433
,10000,0.9,FastEnsemble(Louvain),NMI,0.648762985
,10000,0.9,FastEnsemble(Louvain),ARI,1.32E-06
,10000,0.1,Louvain,AMI,0.959497009
,10000,0.2,Louvain,AMI,0.950206603
,10000,0.3,Louvain,AMI,0.900926128
,10000,0.4,Louvain,AMI,0.730385706
,10000,0.5,Louvain,AMI,0.322661397
,10000,0.6,Louvain,AMI,0.095251159
,10000,0.7,Louvain,AMI,0.038306022
,10000,0.8,Louvain,AMI,0.006935605
,10000,0.9,Louvain,AMI,0.001561212
,10000,0.1,FastEnsemble(Louvain),AMI,0.978771914
,10000,0.2,FastEnsemble(Louvain),AMI,0.973856739
,10000,0.3,FastEnsemble(Louvain),AMI,0.964075348
,10000,0.4,FastEnsemble(Louvain),AMI,0.869692662
,10000,0.5,FastEnsemble(Louvain),AMI,0.411432774
,10000,0.6,FastEnsemble(Louvain),AMI,0.165318196
,10000,0.7,FastEnsemble(Louvain),AMI,0.053965528
,10000,0.8,FastEnsemble(Louvain),AMI,0.006192404
,10000,0.9,FastEnsemble(Louvain),AMI,3.16E-05
,10000,0.1,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.958571965
,10000,0.2,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.944307551
,10000,0.3,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.912636056
,10000,0.4,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.762003545
,10000,0.5,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.337416619
,10000,0.6,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.115423703
,10000,0.7,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.037915516
,10000,0.8,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.006468562
,10000,0.9,"FastEnsemble(tr=0.2,Leiden-MOD)",AMI,0.000831306
,10000,0.1,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.963675929
,10000,0.2,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.951942366
,10000,0.3,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.930778771
,10000,0.4,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.834438926
,10000,0.5,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.400454889
,10000,0.6,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.136174464
,10000,0.7,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.051848058
,10000,0.8,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.010385963
,10000,0.9,"FastEnsemble(tr=0.5,Leiden-MOD)",AMI,0.001284487
,10000,0.1,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.979549173
,10000,0.2,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.970787064
,10000,0.3,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.959273237
,10000,0.4,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.885589039
,10000,0.5,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.390574113
,10000,0.6,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.122945361
,10000,0.7,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.023152526
,10000,0.8,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,0.002037308
,10000,0.9,"FastEnsemble(tr=0.9,Leiden-MOD)",AMI,-7.98E-06
